廠商名稱,SVG_ID,產業類別,主要產品,聯絡電話,地址
Vera Therapeutics,svg_710,醫療儀器,系統平台,02-1234-5678,新北市五股區
Vera Therapeutics,svg_711,醫療儀器,系統平台,02-1234-5678,新北市五股區
Vera Therapeutics,svg_712,醫療儀器,系統平台,02-1234-5678,新北市五股區
Vera Therapeutics,svg_713,醫療儀器,系統平台,02-1234-5678,新北市五股區
Vera Therapeutics,svg_714,醫療儀器,系統平台,02-1234-5678,新北市五股區
Vera Therapeutics,svg_715,醫療儀器,系統平台,02-1234-5678,新北市五股區
Vera Therapeutics,svg_716,醫療儀器,系統平台,02-1234-5678,新北市五股區
Vera Therapeutics,svg_717,醫療儀器,系統平台,02-1234-5678,新北市五股區
Vera Therapeutics,svg_718,醫療儀器,系統平台,02-1234-5678,新北市五股區
Vera Therapeutics,svg_719,醫療儀器,系統平台,02-1234-5678,新北市五股區
Vera Therapeutics,svg_720,醫療儀器,系統平台,02-1234-5678,新北市五股區
Vera Therapeutics,svg_721,醫療儀器,系統平台,02-1234-5678,新北市五股區
Vera Therapeutics,svg_722,醫療儀器,系統平台,02-1234-5678,新北市五股區
Vera Therapeutics,svg_723,醫療儀器,系統平台,02-1234-5678,新北市五股區
Vera Therapeutics,svg_724,醫療儀器,系統平台,02-1234-5678,新北市五股區
百雷佳,svg_726,醫療儀器,系統平台,02-1234-5678,新北市五股區
百雷佳,svg_727,醫療儀器,系統平台,02-1234-5678,新北市五股區
百雷佳,svg_728,醫療儀器,系統平台,02-1234-5678,新北市五股區
幸昌生技,svg_730,醫療儀器,系統平台,02-1234-5678,新北市五股區
幸昌生技,svg_731,醫療儀器,系統平台,02-1234-5678,新北市五股區
幸昌生技,svg_732,醫療儀器,系統平台,02-1234-5678,新北市五股區
幸昌生技,svg_733,醫療儀器,系統平台,02-1234-5678,新北市五股區
幸昌生技,svg_735,醫療儀器,系統平台,02-1234-5678,新北市五股區
幸昌生技,svg_736,醫療儀器,系統平台,02-1234-5678,新北市五股區
幸昌生技,svg_737,醫療儀器,系統平台,02-1234-5678,新北市五股區
幸昌生技,svg_738,醫療儀器,系統平台,02-1234-5678,新北市五股區
幸昌醫藥,svg_740,醫療儀器,系統平台,02-1234-5678,新北市五股區
幸昌醫藥,svg_741,醫療儀器,系統平台,02-1234-5678,新北市五股區
幸昌醫藥,svg_742,醫療儀器,系統平台,02-1234-5678,新北市五股區
幸昌醫藥,svg_743,醫療儀器,系統平台,02-1234-5678,新北市五股區
大昌華嘉,svg_745,醫療儀器,系統平台,02-1234-5678,新北市五股區
大昌華嘉,svg_746,醫療儀器,系統平台,02-1234-5678,新北市五股區
大昌華嘉,svg_747,醫療儀器,系統平台,02-1234-5678,新北市五股區
大昌華嘉,svg_748,醫療儀器,系統平台,02-1234-5678,新北市五股區
寶齡富錦,svg_750,醫療儀器,系統平台,02-1234-5678,新北市五股區
寶齡富錦,svg_751,醫療儀器,系統平台,02-1234-5678,新北市五股區
寶齡富錦,svg_752,醫療儀器,系統平台,02-1234-5678,新北市五股區
寶齡富錦,svg_753,醫療儀器,系統平台,02-1234-5678,新北市五股區
吉泰,svg_755,醫療儀器,系統平台,02-1234-5678,新北市五股區
吉泰,svg_756,醫療儀器,系統平台,02-1234-5678,新北市五股區
一成,svg_758,醫療儀器,系統平台,02-1234-5678,新北市五股區
一成,svg_759,醫療儀器,系統平台,02-1234-5678,新北市五股區
新穎,svg_761,醫療儀器,系統平台,02-1234-5678,新北市五股區
新穎,svg_762,醫療儀器,系統平台,02-1234-5678,新北市五股區
新漢,svg_764,醫療儀器,系統平台,02-1234-5678,新北市五股區
新漢,svg_765,醫療儀器,系統平台,02-1234-5678,新北市五股區
米飛,svg_767,醫療儀器,系統平台,02-1234-5678,新北市五股區
米飛,svg_768,醫療儀器,系統平台,02-1234-5678,新北市五股區
拜耳,svg_770,醫療儀器,系統平台,02-1234-5678,新北市五股區
拜耳,svg_771,醫療儀器,系統平台,02-1234-5678,新北市五股區
華江,svg_773,醫療儀器,系統平台,02-1234-5678,新北市五股區
華江,svg_774,醫療儀器,系統平台,02-1234-5678,新北市五股區
賽諾菲,svg_776,醫療儀器,系統平台,02-1234-5678,新北市五股區
賽諾菲,svg_777,醫療儀器,系統平台,02-1234-5678,新北市五股區
賽諾菲,svg_778,醫療儀器,系統平台,02-1234-5678,新北市五股區
英禾美,svg_780,醫療儀器,系統平台,02-1234-5678,新北市五股區
英禾美,svg_781,醫療儀器,系統平台,02-1234-5678,新北市五股區
英禾美,svg_782,醫療儀器,系統平台,02-1234-5678,新北市五股區
英禾美,svg_784,醫療儀器,系統平台,02-1234-5678,新北市五股區
英禾美,svg_785,醫療儀器,系統平台,02-1234-5678,新北市五股區
英禾美,svg_786,醫療儀器,系統平台,02-1234-5678,新北市五股區
FMC,svg_799,醫療儀器,系統平台,02-1234-5678,新北市五股區
FMC,svg_800,醫療儀器,系統平台,02-1234-5678,新北市五股區
FMC,svg_801,醫療儀器,系統平台,02-1234-5678,新北市五股區
大塚,svg_805,醫療儀器,系統平台,02-1234-5678,新北市五股區
大塚,svg_806,醫療儀器,系統平台,02-1234-5678,新北市五股區
大塚,svg_813,醫療儀器,系統平台,02-1234-5678,新北市五股區
大塚,svg_814,醫療儀器,系統平台,02-1234-5678,新北市五股區
佳醫,svg_816,醫療儀器,系統平台,02-1234-5678,新北市五股區
佳醫,svg_817,醫療儀器,系統平台,02-1234-5678,新北市五股區
諾和諾德,svg_819,醫療儀器,系統平台,02-1234-5678,新北市五股區
諾和諾德,svg_820,醫療儀器,系統平台,02-1234-5678,新北市五股區
諾和諾德,svg_821,醫療儀器,系統平台,02-1234-5678,新北市五股區
諾和諾德,svg_822,醫療儀器,系統平台,02-1234-5678,新北市五股區
GSK,svg_824,醫療儀器,系統平台,02-1234-5678,新北市五股區
GSK,svg_825,醫療儀器,系統平台,02-1234-5678,新北市五股區
GSK,svg_826,醫療儀器,系統平台,02-1234-5678,新北市五股區
費森尤斯卡比,svg_828,醫療儀器,系統平台,02-1234-5678,新北市五股區
費森尤斯卡比,svg_829,醫療儀器,系統平台,02-1234-5678,新北市五股區
費森尤斯卡比,svg_830,醫療儀器,系統平台,02-1234-5678,新北市五股區
費森尤斯卡比,svg_831,醫療儀器,系統平台,02-1234-5678,新北市五股區
費森尤斯卡比,svg_832,醫療儀器,系統平台,02-1234-5678,新北市五股區
費森尤斯卡比,svg_833,醫療儀器,系統平台,02-1234-5678,新北市五股區
幸昌生技,svg_851,醫療儀器,系統平台,02-1234-5678,新北市五股區
幸昌生技,svg_852,醫療儀器,系統平台,02-1234-5678,新北市五股區
幸昌生技,svg_853,醫療儀器,系統平台,02-1234-5678,新北市五股區
幸昌生技,svg_854,醫療儀器,系統平台,02-1234-5678,新北市五股區
1,svg_32,醫療儀器,系統平台,02-1234-5678,新北市五股區
2,svg_35,醫療儀器,系統平台,02-1234-5678,新北市五股區
3,svg_123,醫療儀器,系統平台,02-1234-5678,新北市五股區
4,svg_105,醫療儀器,系統平台,02-1234-5678,新北市五股區
5,svg_102,醫療儀器,系統平台,02-1234-5678,新北市五股區
6,svg_131,醫療儀器,系統平台,02-1234-5678,新北市五股區
7,svg_38,醫療儀器,系統平台,02-1234-5678,新北市五股區
8,svg_56,醫療儀器,系統平台,02-1234-5678,新北市五股區
9,svg_69,醫療儀器,系統平台,02-1234-5678,新北市五股區
10,svg_87,醫療儀器,系統平台,02-1234-5678,新北市五股區
11,svg_92,醫療儀器,系統平台,02-1234-5678,新北市五股區
12,svg_59,醫療儀器,系統平台,02-1234-5678,新北市五股區
13,svg_64,醫療儀器,系統平台,02-1234-5678,新北市五股區
14,svg_113,醫療儀器,系統平台,02-1234-5678,新北市五股區
15,svg_72,醫療儀器,系統平台,02-1234-5678,新北市五股區
16,svg_108,醫療儀器,系統平台,02-1234-5678,新北市五股區
17,svg_97,醫療儀器,系統平台,02-1234-5678,新北市五股區
18,svg_77,醫療儀器,系統平台,02-1234-5678,新北市五股區
19,svg_82,醫療儀器,系統平台,02-1234-5678,新北市五股區
20,svg_118,醫療儀器,系統平台,02-1234-5678,新北市五股區
21,svg_126,醫療儀器,系統平台,02-1234-5678,新北市五股區
